Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
EFL1;Q7Z2Z2;2,15521;1,00E+00;1,896911;1,00E+00;Vicino all'ER;0,258299;Homo sapiens;Cytoplasm;Cytoplasm;Elongation factor-like GTPase 1
EFNB1;P98172;1,293235;1,75E-01;1,139753;1,66E-01;Vicino all'ER;0,153482;Homo sapiens;PM;PM;Ephrin-B1
EFNB2;P52799;1,796479;9,89E-01;1,564902;8,89E-01;Vicino all'ER;0,231577;Homo sapiens;;endosome-vesicle;Ephrin-B2
EFR3A;"A0A1B0GUZ7;Q14156";1,285292;1,69E-01;1,150949;1,76E-01;Vicino all'ER;0,134343;Homo sapiens;PM;PM;"EFR3 homolog A;Protein EFR3 homolog A"
EFTUD2;Q15029;0,9321294;1,99E-02;0,816164;1,63E-02;Vicino all'ER;0,1159654;Homo sapiens;Nucleus;Nucleus;116 kDa U5 small nuclear ribonucleoprotein component
EGFR;P00533;1,238024;1,31E-01;1,136389;1,64E-01;Vicino all'ER;0,101635;Homo sapiens;PM;PM;Epidermal growth factor receptor
EGLN1;Q9GZT9;2,111598;1,00E+00;1,859796;1,00E+00;Vicino all'ER;0,251802;Homo sapiens;;Translation;Egl nine homolog 1
EHBP1;Q8NDI1;1,686451;8,00E-01;1,482002;7,34E-01;Vicino all'ER;0,204449;Homo sapiens;;Cytoplasm;EH domain-binding protein 1
EHBP1L1;Q8N3D4;1,788236;9,74E-01;1,527395;8,24E-01;Vicino all'ER;0,260841;Homo sapiens;;Cytoplasm;EH domain-binding protein 1-like protein 1
EHD1;Q9H4M9;1,986364;1,00E+00;1,73873;1,00E+00;Vicino all'ER;0,247634;Homo sapiens;;Cytoplasm;EH domain-containing protein 1
EHD2;Q9NZN4;1,534573;5,15E-01;1,377439;5,22E-01;Vicino all'ER;0,157134;Homo sapiens;;Cytoplasm;EH domain-containing protein 2
EHD3;Q9NZN3;1,993451;1,00E+00;1,742433;1,00E+00;Vicino all'ER;0,251018;Homo sapiens;;Cytoplasm;EH domain-containing protein 3
EHD4;Q9H223;2,034801;1,00E+00;1,783128;1,00E+00;Vicino all'ER;0,251673;Homo sapiens;;Cytoplasm;EH domain-containing protein 4
EHHADH;Q08426;0,3588351;0,00E+00;0,4509294;3,70E-04;Vicino al REPLICOMA;0,0920943;Homo sapiens;Peroxisome;Peroxisome;Peroxisomal bifunctional enzyme
EHMT1;"A0A1B0GV09;Q9H9B1";1,181768;9,50E-02;1,165903;1,90E-01;Vicino all'ER;0,015865;Homo sapiens;Nucleus;Nucleus;"Euchromatic histone lysine methyltransferase 1;Histone-lysine N-methyltransferase EHMT1"
EHMT2;"A0A0G2JIS2;Q96KQ7";1,322519;2,03E-01;1,202831;2,33E-01;Vicino all'ER;0,119688;Homo sapiens;;Nucleus;Histone-lysine N-methyltransferase EHMT2
EI24;"E9PK61;E9PL33;E9PM05;E9PS58;O14681";0,4504187;8,97E-05;0,2616499;0,00E+00;Vicino all'ER;0,1887688;Homo sapiens;ER;ER;"EI24 autophagy associated transmembrane protein;EI24 autophagy associated transmembrane protein (Fragment);EI24 autophagy associated transmembrane protein (Fragment);EI24 autophagy associated transmembrane protein (Fragment);Etoposide-induced protein 2.4 homolog"
EIF1;"K7EM18;P41567";2,045116;1,00E+00;1,852348;1,00E+00;Vicino all'ER;0,192768;Homo sapiens;;Translation;Eukaryotic translation initiation factor 1
EIF1AD;"E9PLI6;E9PS76;Q8N9N8";2,441781;1,00E+00;2,22507;1,00E+00;Vicino all'ER;0,216711;Homo sapiens;;protein-complex;"Probable RNA-binding protein EIF1AD (Fragment);Probable RNA-binding protein EIF1AD (Fragment);Probable RNA-binding protein EIF1AD"
EIF1AX;P47813;1,880977;1,00E+00;1,697342;1,00E+00;Vicino all'ER;0,183635;Homo sapiens;;Translation;Eukaryotic translation initiation factor 1A, X-chromosomal
EIF1AY;O14602;2,239197;1,00E+00;2,035556;1,00E+00;Vicino all'ER;0,203641;Homo sapiens;;protein-complex;Eukaryotic translation initiation factor 1A, Y-chromosomal
EIF1B;O60739;2,079548;1,00E+00;1,877179;1,00E+00;Vicino all'ER;0,202369;Homo sapiens;;Translation;Eukaryotic translation initiation factor 1b
EIF2A;Q9BY44;1,878199;1,00E+00;1,665035;1,00E+00;Vicino all'ER;0,213164;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 2A
EIF2AK2;P19525;1,825755;1,00E+00;1,611537;9,84E-01;Vicino all'ER;0,214218;Homo sapiens;Translation;Translation;Interferon-induced, double-stranded RNA-activated protein kinase
EIF2AK4;Q9P2K8;1,756787;9,22E-01;1,571357;9,04E-01;Vicino all'ER;0,18543;Homo sapiens;;Translation;eIF-2-alpha kinase GCN2
EIF2B1;Q14232;2,08389;1,00E+00;1,841222;1,00E+00;Vicino all'ER;0,242668;Homo sapiens;Translation;Translation;Translation initiation factor eIF2B subunit alpha
EIF2B2;P49770;2,065911;1,00E+00;1,845051;1,00E+00;Vicino all'ER;0,22086;Homo sapiens;Translation;Translation;Translation initiation factor eIF2B subunit beta
EIF2B3;Q9NR50;2,070583;1,00E+00;1,847978;1,00E+00;Vicino all'ER;0,222605;Homo sapiens;Translation;Translation;Translation initiation factor eIF2B subunit gamma
EIF2B4;Q9UI10;1,968501;1,00E+00;1,75624;1,00E+00;Vicino all'ER;0,212261;Homo sapiens;Translation;Translation;Translation initiation factor eIF2B subunit delta
EIF2B5;"A0A3B3IUB1;Q13144";2,013508;1,00E+00;1,795103;1,00E+00;Vicino all'ER;0,218405;Homo sapiens;Translation;Translation;Translation initiation factor eIF2B subunit epsilon
EIF2D;P41214;2,170559;1,00E+00;1,962348;1,00E+00;Vicino all'ER;0,208211;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 2D
EIF2S1;P05198;2,016989;1,00E+00;1,805475;1,00E+00;Vicino all'ER;0,211514;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 2 subunit 1
EIF2S2;P20042;1,944306;1,00E+00;1,739633;1,00E+00;Vicino all'ER;0,204673;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 2 subunit 2
EIF2S3;P41091;1,955273;1,00E+00;1,745078;1,00E+00;Vicino all'ER;0,210195;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 2 subunit 3
EIF3A;Q14152;1,968579;1,00E+00;1,791243;1,00E+00;Vicino all'ER;0,177336;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit A
EIF3B;P55884;1,894242;1,00E+00;1,72165;1,00E+00;Vicino all'ER;0,172592;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit B
EIF3C;Q99613;1,902668;1,00E+00;1,71278;1,00E+00;Vicino all'ER;0,189888;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit C
EIF3CL;B5ME19;2,130816;1,00E+00;1,932799;1,00E+00;Vicino all'ER;0,198017;Homo sapiens;;Translation;Eukaryotic translation initiation factor 3 subunit C-like protein
EIF3D;O15371;1,842675;1,00E+00;1,664584;1,00E+00;Vicino all'ER;0,178091;Homo sapiens;;Translation;Eukaryotic translation initiation factor 3 subunit D
EIF3E;P60228;1,988086;1,00E+00;1,791152;1,00E+00;Vicino all'ER;0,196934;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit E
EIF3F;"H0YDT6;O00303";1,980217;1,00E+00;1,794923;1,00E+00;Vicino all'ER;0,185294;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit F
EIF3G;O75821;2,060794;1,00E+00;1,857207;1,00E+00;Vicino all'ER;0,203587;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit G
EIF3H;"B3KS98;O15372";2,144544;1,00E+00;1,948249;1,00E+00;Vicino all'ER;0,196295;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit H
EIF3I;"A0A7I2YQF8;Q13347";2,024739;1,00E+00;1,818595;1,00E+00;Vicino all'ER;0,206144;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit I
EIF3I;A0A7I2V3U3;2,130025;1,00E+00;1,924098;1,00E+00;Vicino all'ER;0,205927;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit I
EIF3J;O75822;2,011827;1,00E+00;1,817912;1,00E+00;Vicino all'ER;0,193915;Homo sapiens;;Translation;Eukaryotic translation initiation factor 3 subunit J
EIF3K;Q9UBQ5;2,000046;1,00E+00;1,801032;1,00E+00;Vicino all'ER;0,199014;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit K
EIF3L;Q9Y262;2,062088;1,00E+00;1,884932;1,00E+00;Vicino all'ER;0,177156;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit L
EIF3M;Q7L2H7;1,98097;1,00E+00;1,806535;1,00E+00;Vicino all'ER;0,174435;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 3 subunit M
EIF4A1;P60842;2,394587;1,00E+00;2,211073;1,00E+00;Vicino all'ER;0,183514;Homo sapiens;;protein-complex;Eukaryotic initiation factor 4A-I
EIF4A2;Q14240;1,936459;1,00E+00;1,730454;1,00E+00;Vicino all'ER;0,206005;Homo sapiens;Translation;Translation;Eukaryotic initiation factor 4A-II
EIF4A3;P38919;1,22484;1,20E-01;1,189999;2,18E-01;Vicino all'ER;0,034841;Homo sapiens;Nucleus;Nucleus;Eukaryotic initiation factor 4A-III
EIF4B;"E7EX17;P23588";2,397984;1,00E+00;2,181148;1,00E+00;Vicino all'ER;0,216836;Homo sapiens;;protein-complex;Eukaryotic translation initiation factor 4B
EIF4E;P06730;1,944844;1,00E+00;1,73908;1,00E+00;Vicino all'ER;0,205764;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 4E
EIF4E2;O60573;1,208439;1,10E-01;1,10416;1,36E-01;Vicino all'ER;0,104279;Homo sapiens;;endosome-vesicle;Eukaryotic translation initiation factor 4E type 2
EIF4EBP1;Q13541;2,120823;1,00E+00;1,871479;1,00E+00;Vicino all'ER;0,249344;Homo sapiens;Cytoplasm;Cytoplasm;Eukaryotic translation initiation factor 4E-binding protein 1
EIF4ENIF1;Q9NRA8;2,044476;1,00E+00;1,8575;1,00E+00;Vicino all'ER;0,186976;Homo sapiens;;Translation;Eukaryotic translation initiation factor 4E transporter
EIF4G1;Q04637;1,866689;1,00E+00;1,677814;1,00E+00;Vicino all'ER;0,188875;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 4 gamma 1
EIF4G1;E9PGM1;2,165643;1,00E+00;1,933047;1,00E+00;Vicino all'ER;0,232596;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 4 gamma 1
EIF4G1;E7EX73;2,271303;1,00E+00;2,070504;1,00E+00;Vicino all'ER;0,200799;Homo sapiens;Translation;Cytoplasm;Eukaryotic translation initiation factor 4 gamma 1
EIF4G2;P78344;1,940998;1,00E+00;1,756832;1,00E+00;Vicino all'ER;0,184166;Homo sapiens;;Translation;Eukaryotic translation initiation factor 4 gamma 2
EIF4G3;A0A8I5KT99;1,924853;1,00E+00;1,724964;1,00E+00;Vicino all'ER;0,199889;Homo sapiens;;Translation;Eukaryotic translation initiation factor 4 gamma 3
EIF4G3;"A0A0A0MSA7;A0A804HJV5";2,141147;1,00E+00;1,9304;1,00E+00;Vicino all'ER;0,210747;Homo sapiens;;Translation;Eukaryotic translation initiation factor 4 gamma 3
EIF4H;Q15056;2,001764;1,00E+00;1,769794;1,00E+00;Vicino all'ER;0,23197;Homo sapiens;Cytoplasm;Cytoplasm;Eukaryotic translation initiation factor 4H
EIF5;P55010;2,157622;1,00E+00;1,917941;1,00E+00;Vicino all'ER;0,239681;Homo sapiens;Cytoplasm;Cytoplasm;Eukaryotic translation initiation factor 5
EIF5A;P63241;2,110924;1,00E+00;1,869085;1,00E+00;Vicino all'ER;0,241839;Homo sapiens;Cytoplasm;Cytoplasm;Eukaryotic translation initiation factor 5A-1
EIF5A2;"C9J7B5;F8WCJ1;Q9GZV4";2,205598;1,00E+00;1,947823;1,00E+00;Vicino all'ER;0,257775;Homo sapiens;;Cytoplasm;"Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-2"
EIF5B;"A0A087WUT6;O60841";2,135617;1,00E+00;1,932724;1,00E+00;Vicino all'ER;0,202893;Homo sapiens;Translation;Translation;Eukaryotic translation initiation factor 5B
EIF6;P56537;1,934048;1,00E+00;1,70453;1,00E+00;Vicino all'ER;0,229518;Homo sapiens;;Cytoplasm;Eukaryotic translation initiation factor 6
EIPR1;"A8MUM1;Q53HC9";2,425113;1,00E+00;2,186399;1,00E+00;Vicino all'ER;0,238714;Homo sapiens;;Cytoplasm;EARP and GARP complex-interacting protein 1
ELAC2;Q9BQ52;1,356619;2,43E-01;1,157744;1,82E-01;Vicino all'ER;0,198875;Homo sapiens;Mitochondria;Mitochondria;Zinc phosphodiesterase ELAC protein 2
ELAVL1;Q15717;0,6606926;2,74E-03;0,5539393;1,39E-03;Vicino all'ER;0,1067533;Homo sapiens;;Nucleus;ELAV-like protein 1
ELMO2;"Q5JVZ5;Q96JJ3";1,894793;1,00E+00;1,681724;1,00E+00;Vicino all'ER;0,213069;Homo sapiens;;Translation;"Engulfment and cell motility 2;Engulfment and cell motility protein 2"
ELMOD2;"D6RBS5;Q8IZ81";0,8280485;9,52E-03;0,5440334;1,24E-03;Vicino all'ER;0,2840151;Homo sapiens;ER;ER;"ELMO domain containing 2 (Fragment);ELMO domain-containing protein 2"
ELOA;Q14241;1,330777;2,12E-01;1,142024;1,69E-01;Vicino all'ER;0,188753;Homo sapiens;;Mitochondria;Elongin-A
ELOB;"A0A8I5KUS5;Q15370";2,086218;1,00E+00;1,840735;1,00E+00;Vicino all'ER;0,245483;Homo sapiens;;Cytoplasm;"Elongin B;Elongin-B"
ELOC;Q15369;2,110388;1,00E+00;1,864204;1,00E+00;Vicino all'ER;0,246184;Homo sapiens;;Cytoplasm;Elongin-C
ELOVL1;Q9BW60;0,3396024;0,00E+00;0,5511105;1,33E-03;Vicino al REPLICOMA;0,2115081;Homo sapiens;ER;ER;Very long chain fatty acid elongase 1
ELOVL5;"A0A0A0MTI6;Q9NYP7";0,6183701;1,82E-03;0,4183187;2,43E-04;Vicino all'ER;0,2000514;Homo sapiens;ER;ER;"Elongation of very long chain fatty acids protein;Very long chain fatty acid elongase 5"
ELP1;"A0A6Q8PGW3;O95163";2,041379;1,00E+00;1,837539;1,00E+00;Vicino all'ER;0,20384;Homo sapiens;protein-complex;protein-complex;Elongator complex protein 1
ELP2;Q6IA86;2,142433;1,00E+00;1,933535;1,00E+00;Vicino all'ER;0,208898;Homo sapiens;Cytoplasm;protein-complex;Elongator complex protein 2
ELP3;Q9H9T3;2,143471;1,00E+00;1,918413;1,00E+00;Vicino all'ER;0,225058;Homo sapiens;protein-complex;protein-complex;Elongator complex protein 3
ELP4;Q96EB1;2,239745;1,00E+00;2,012499;1,00E+00;Vicino all'ER;0,227246;Homo sapiens;;protein-complex;Elongator complex protein 4
ELP5;Q8TE02;2,24974;1,00E+00;2,019039;1,00E+00;Vicino all'ER;0,230701;Homo sapiens;;protein-complex;Elongator complex protein 5
EMC1;"A0A8I5KW55;Q8N766";1,017111;3,59E-02;0,9618362;5,23E-02;Vicino all'ER;0,0552748;Homo sapiens;ER;ER;ER membrane protein complex subunit 1
EMC10;"M0R2A0;Q5UCC4";0,6409249;2,35E-03;0,5618822;1,48E-03;Vicino all'ER;0,0790427;Homo sapiens;ER;Mitochondria;ER membrane protein complex subunit 10
EMC2;Q15006;0,2677369;0,00E+00;0,3722683;4,00E-05;Vicino al REPLICOMA;0,1045314;Homo sapiens;ER;ER;ER membrane protein complex subunit 2
EMC3;Q9P0I2;0,6841118;3,29E-03;0,4883726;5,40E-04;Vicino all'ER;0,1957392;Homo sapiens;ER;Mitochondria;ER membrane protein complex subunit 3
EMC4;"H0YNK8;Q5J8M3";0,5164179;4,01E-04;0,4125705;2,36E-04;Vicino all'ER;0,1038474;Homo sapiens;ER;ER;ER membrane protein complex subunit 4
EMC7;Q9NPA0;0,5454552;6,94E-04;0,3149067;0,00E+00;Vicino all'ER;0,2305485;Homo sapiens;ER;ER;Endoplasmic reticulum membrane protein complex subunit 7
EMC8;O43402;0,3393501;0,00E+00;0,4377536;3,60E-04;Vicino al REPLICOMA;0,0984035;Homo sapiens;ER;ER;ER membrane protein complex subunit 8
EMD;P50402;0,3933155;0,00E+00;0,4207258;2,61E-04;Vicino al REPLICOMA;0,0274103;Homo sapiens;ER;ER;Emerin
EMG1;Q92979;0,9602504;2,45E-02;0,8701946;2,58E-02;Vicino all'ER;0,0900558;Homo sapiens;Nucleus;Nucleus;Ribosomal RNA small subunit methyltransferase NEP1
EMILIN1;Q9Y6C2;1,231869;1,25E-01;1,207611;2,39E-01;Vicino all'ER;0,024258;Homo sapiens;;Translation;EMILIN-1
EMILIN2;Q9BXX0;1,282761;1,68E-01;1,293394;3,65E-01;Vicino al REPLICOMA;0,010633;Homo sapiens;;Cytoplasm;EMILIN-2
EML1;"A0A3B3IU69;F8W717;O00423";2,036665;1,00E+00;1,82302;1,00E+00;Vicino all'ER;0,213645;Homo sapiens;;Translation;"EMAP like 1;EMAP like 1;Echinoderm microtubule-associated protein-like 1"
EML2;O95834;2,176113;1,00E+00;1,932418;1,00E+00;Vicino all'ER;0,243695;Homo sapiens;;Cytoplasm;Echinoderm microtubule-associated protein-like 2
EML3;"B7WPE2;Q32P44";2,028548;1,00E+00;1,817136;1,00E+00;Vicino all'ER;0,211412;Homo sapiens;;Translation;"EMAP like 3;Echinoderm microtubule-associated protein-like 3"
EML4;Q9HC35;2,076508;1,00E+00;1,86027;1,00E+00;Vicino all'ER;0,216238;Homo sapiens;;Translation;Echinoderm microtubule-associated protein-like 4
ENAH;A0A0U1RRM6;1,779858;9,62E-01;1,605494;9,72E-01;Vicino all'ER;0,174364;Homo sapiens;Cytoplasm;Cytoplasm;ENAH actin regulator
ENAH;Q8N8S7;1,932403;1,00E+00;1,69231;1,00E+00;Vicino all'ER;0,240093;Homo sapiens;Cytoplasm;Cytoplasm;Protein enabled homolog
ENDOD1;O94919;1,251446;1,40E-01;1,171143;1,96E-01;Vicino all'ER;0,080303;Homo sapiens;ER;ER;Endonuclease domain-containing 1 protein
ENDOG;Q14249;1,034262;4,02E-02;0,7941623;1,34E-02;Vicino all'ER;0,2400997;Homo sapiens;;Mitochondria;Endonuclease G, mitochondrial
ENG;P17813;1,264116;1,50E-01;1,157766;1,83E-01;Vicino all'ER;0,10635;Homo sapiens;;PM;Endoglin
ENO1;P06733;2,071554;1,00E+00;1,835639;1,00E+00;Vicino all'ER;0,235915;Homo sapiens;Cytoplasm;Cytoplasm;Alpha-enolase
ENO2;P09104;1,972295;1,00E+00;1,743635;1,00E+00;Vicino all'ER;0,22866;Homo sapiens;Cytoplasm;Cytoplasm;Gamma-enolase
ENO3;P13929;2,08207;1,00E+00;1,844882;1,00E+00;Vicino all'ER;0,237188;Homo sapiens;;Cytoplasm;Beta-enolase
ENOPH1;Q9UHY7;2,155449;1,00E+00;1,911547;1,00E+00;Vicino all'ER;0,243902;Homo sapiens;;Cytoplasm;Enolase-phosphatase E1
ENPP1;P22413;1,028367;3,89E-02;0,822719;1,72E-02;Vicino all'ER;0,205648;Homo sapiens;;Golgi apparatus;Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
ENSA;"A6NMQ3;O43768;Q5T5H1";2,165921;1,00E+00;1,904822;1,00E+00;Vicino all'ER;0,261099;Homo sapiens;;Cytoplasm;"Alpha-endosulfine;Alpha-endosulfine;Endosulfine alpha"
ENTPD4;Q9Y227;1,748974;9,08E-01;1,568121;8,99E-01;Vicino all'ER;0,180853;Homo sapiens;;Golgi apparatus;Ectonucleoside triphosphate diphosphohydrolase 4
ENY2;Q9NPA8;1,789432;9,76E-01;1,557891;8,79E-01;Vicino all'ER;0,231541;Homo sapiens;;Cytoplasm;Transcription and mRNA export factor ENY2
EOGT;Q5NDL2;0,6730865;2,95E-03;0,6797467;5,34E-03;Vicino al REPLICOMA;0,0066602;Homo sapiens;ER;ER;EGF domain-specific O-linked N-acetylglucosamine transferase
EPB41;"A0A2R8Y7Y3;A0A2R8YD30;A0A2U3TZH6;A0A3B3ITP0;P11171";0,9790257;2,84E-02;0,7683999;1,10E-02;Vicino all'ER;0,2106258;Homo sapiens;;ER;Protein 4.1
EPB41L1;"A0A0C4DH22;A0A1B0GTW6;Q9H4G0";1,044532;4,25E-02;0,9614497;5,22E-02;Vicino all'ER;0,0830823;Homo sapiens;PM;PM;"Erythrocyte membrane protein band 4.1 like 1;Erythrocyte membrane protein band 4.1 like 1;Band 4.1-like protein 1"
EPB41L2;A0A994J5B1;1,009899;3,45E-02;1,028303;8,46E-02;Vicino al REPLICOMA;0,018404;Homo sapiens;PM;PM;Erythrocyte membrane protein band 4.1 like 2
EPB41L3;A0A0A0MRA8;0,7134873;4,06E-03;0,8677728;2,53E-02;Vicino al REPLICOMA;0,1542855;Homo sapiens;;PM;Erythrocyte membrane protein band 4.1 like 3
EPB41L3;A8K968;1,962266;1,00E+00;1,761976;1,00E+00;Vicino all'ER;0,20029;Homo sapiens;;endosome-vesicle;Erythrocyte membrane protein band 4.1 like 3
EPB41L5;Q9HCM4;1,162902;8,58E-02;1,041902;9,26E-02;Vicino all'ER;0,121;Homo sapiens;;PM;Band 4.1-like protein 5
EPG5;"A0A8Q3SIU6;Q9HCE0";2,377278;1,00E+00;2,275319;1,00E+00;Vicino all'ER;0,101959;Homo sapiens;;protein-complex;"Ectopic P-granules 5 autophagy tethering factor;Ectopic P granules protein 5 homolog"
EPHA2;P29317;1,180273;9,39E-02;1,116114;1,45E-01;Vicino all'ER;0,064159;Homo sapiens;;PM;Ephrin type-A receptor 2
EPHA4;P54764;1,422504;3,28E-01;1,288231;3,57E-01;Vicino all'ER;0,134273;Homo sapiens;;PM;Ephrin type-A receptor 4
EPHB2;P29323;1,200307;1,05E-01;1,129749;1,57E-01;Vicino all'ER;0,070558;Homo sapiens;;PM;Ephrin type-B receptor 2
EPHB4;"P54760;Q96L35";1,893515;1,00E+00;1,644653;1,00E+00;Vicino all'ER;0,248862;Homo sapiens;;Cytoplasm;"Ephrin type-B receptor 4;receptor protein-tyrosine kinase"
EPHX1;P07099;0,5447299;6,96E-04;0,5901054;2,09E-03;Vicino al REPLICOMA;0,0453755;Homo sapiens;ER;ER;Epoxide hydrolase 1
EPM2AIP1;Q7L775;1,803069;1,00E+00;1,560937;8,84E-01;Vicino all'ER;0,242132;Homo sapiens;;Cytoplasm;EPM2A-interacting protein 1
EPN1;Q9Y6I3;1,709434;8,41E-01;1,464912;7,02E-01;Vicino all'ER;0,244522;Homo sapiens;;Cytoplasm;Epsin-1
EPN2;"E9PBC1;F6PQP6;O95208";0,53342;5,37E-04;0,6176139;2,62E-03;Vicino al REPLICOMA;0,0841939;Homo sapiens;;PM;"Epsin 2;Epsin 2 (Fragment);Epsin-2"
EPPK1;"A0A075B730;P58107";1,764902;9,34E-01;1,680524;1,00E+00;Vicino all'ER;0,084378;Homo sapiens;;Cytoplasm;"Epiplakin 1;Epiplakin"
EPRS1;P07814;2,204319;1,00E+00;1,992583;1,00E+00;Vicino all'ER;0,211736;Homo sapiens;;protein-complex;Bifunctional glutamate/proline--tRNA ligase
EPS15;P42566;1,761941;9,30E-01;1,53857;8,41E-01;Vicino all'ER;0,223371;Homo sapiens;Cytoplasm;Cytoplasm;Epidermal growth factor receptor substrate 15
EPS15L1;Q9UBC2;1,016265;3,57E-02;1,004496;7,06E-02;Vicino all'ER;0,011769;Homo sapiens;;PM;Epidermal growth factor receptor substrate 15-like 1
EPS15L1;M0QY01;1,892614;1,00E+00;1,613397;9,88E-01;Vicino all'ER;0,279217;Homo sapiens;;Cytoplasm;Epidermal growth factor receptor pathway substrate 15 like 1 (Fragment)
EPS8;"A0A2R8Y4W2;A0A2R8YE63;Q12929";1,857206;1,00E+00;1,652996;1,00E+00;Vicino all'ER;0,20421;Homo sapiens;;Cytoplasm;"Epidermal growth factor receptor pathway substrate 8;Epidermal growth factor receptor pathway substrate 8;Epidermal growth factor receptor kinase substrate 8"
EPS8L2;"A0A3B3ISQ4;Q9H6S3";2,127547;1,00E+00;1,88594;1,00E+00;Vicino all'ER;0,241607;Homo sapiens;Cytoplasm;Cytoplasm;"EPS8 like 2;Epidermal growth factor receptor kinase substrate 8-like protein 2"
ERAL1;O75616;1,276388;1,61E-01;1,036073;8,99E-02;Vicino all'ER;0,240315;Homo sapiens;;Mitochondria;GTPase Era, mitochondrial
ERAP1;Q9NZ08;0,3573038;0,00E+00;0,4909348;5,76E-04;Vicino al REPLICOMA;0,133631;Homo sapiens;ER;ER;Endoplasmic reticulum aminopeptidase 1
ERBB2;P04626;1,259596;1,47E-01;1,14408;1,71E-01;Vicino all'ER;0,115516;Homo sapiens;;PM;Receptor tyrosine-protein kinase erbB-2
ERBB4;Q15303;1,998328;1,00E+00;1,896349;1,00E+00;Vicino all'ER;0,101979;Homo sapiens;;protein-complex;Receptor tyrosine-protein kinase erbB-4
ERBIN;"A0A8V8TN23;A0A8V8TPC7;Q96RT1";1,008679;3,43E-02;0,9339592;4,21E-02;Vicino all'ER;0,0747198;Homo sapiens;;PM;"Erbb2 interacting protein;Erbb2 interacting protein;Erbin"
ERC1;"Q8IUD2;X6RLX0";0,6425954;2,37E-03;0,4837874;5,05E-04;Vicino all'ER;0,158808;Homo sapiens;;ER;"ELKS/Rab6-interacting/CAST family member 1;ELKS/RAB6-interacting/CAST family member 1"
ERCC3;"A0A2R8Y6W8;P19447";1,0273;3,86E-02;1,099589;1,33E-01;Vicino al REPLICOMA;0,072289;Homo sapiens;;Nucleus;General transcription and DNA repair factor IIH helicase subunit XPB
ERCC6L;Q2NKX8;2,061223;1,00E+00;1,816412;1,00E+00;Vicino all'ER;0,244811;Homo sapiens;;Cytoplasm;DNA excision repair protein ERCC-6-like
ERGIC1;Q969X5;1,171268;8,96E-02;1,115982;1,45E-01;Vicino all'ER;0,055286;Homo sapiens;;Nucleus;Endoplasmic reticulum-Golgi intermediate compartment protein 1
ERGIC2;Q96RQ1;1,133475;7,18E-02;1,02716;8,38E-02;Vicino all'ER;0,106315;Homo sapiens;Golgi apparatus;PM;Endoplasmic reticulum-Golgi intermediate compartment protein 2
ERGIC3;"H0Y5K5;Q9Y282";1,336065;2,17E-01;1,218426;2,54E-01;Vicino all'ER;0,117639;Homo sapiens;Golgi apparatus;Golgi apparatus;"Endoplasmic reticulum-Golgi intermediate compartment protein (Fragment);Endoplasmic reticulum-Golgi intermediate compartment protein 3"
ERH;P84090;0,822385;9,12E-03;0,7785859;1,19E-02;Vicino all'ER;0,0437991;Homo sapiens;Nucleus;Nucleus;Enhancer of rudimentary homolog
ERI1;Q8IV48;2,055758;1,00E+00;1,853593;1,00E+00;Vicino all'ER;0,202165;Homo sapiens;Translation;Translation;3'-5' exoribonuclease 1
ERI3;"H0Y4B0;O43414";1,981182;1,00E+00;1,79643;1,00E+00;Vicino all'ER;0,184752;Homo sapiens;;protein-complex;"ERI1 exoribonuclease family member 3 (Fragment);ERI1 exoribonuclease 3"
ERLEC1;"A0A8I5KWJ1;Q96DZ1";0,6511716;2,52E-03;0,5872442;2,01E-03;Vicino all'ER;0,0639274;Homo sapiens;ER;Peroxisome;"Endoplasmic reticulum lectin;Endoplasmic reticulum lectin 1"
